champion,changed_in_patch,source_scope,picks,wins,winrate,avg_kills,avg_deaths,avg_assists,avg_earnedgold,avg_damagetochampions,avg_dpm,avg_cspm
Leona,0,historical_unchanged,94,50,0.5319148936170213,0.6063829787234043,3.978723404255319,9.085106382978724,8611.797872340425,,174.85106382978722,1.2159574468085108
Miss Fortune,0,historical_unchanged,89,43,0.48314606741573035,4.752808988764045,3.1123595505617976,4.966292134831461,16270.258426966293,,712.0224719101124,9.950561797752808
Lee Sin,0,historical_unchanged,81,42,0.5185185185185185,4.172839506172839,3.1481481481481484,7.049382716049383,12915.432098765432,,449.69135802469134,6.877777777777778
LeBlanc,0,historical_unchanged,77,39,0.5064935064935064,4.792207792207792,2.3766233766233764,4.7272727272727275,13580.402597402597,,758.2207792207793,8.535064935064936
Jax,0,historical_unchanged,76,41,0.5394736842105263,3.3157894736842106,2.75,4.342105263157895,13248.631578947368,,638.8421052631579,8.451315789473684
Yorick,0,historical_unchanged,75,40,0.5333333333333333,2.3466666666666667,2.76,4.52,13213.493333333334,,649.5866666666667,9.131999999999998
Cassiopeia,0,historical_unchanged,74,38,0.5135135135135135,3.3513513513513513,3.135135135135135,6.108108108108108,13066.31081081081,,612.0945945945946,8.791891891891892
Naafiri,0,historical_unchanged,74,38,0.5135135135135135,4.513513513513513,2.689189189189189,5.662162162162162,13241.675675675675,,536.6486486486486,7.359459459459458
Sylas,0,historical_unchanged,74,32,0.43243243243243246,4.175675675675675,3.324324324324324,5.162162162162162,12585.567567567568,,589.7702702702703,8.239189189189187
Yone,0,historical_unchanged,73,41,0.5616438356164384,3.493150684931507,2.6986301369863015,4.8493150684931505,14181.109589041096,,645.7534246575342,9.782191780821918
Syndra,0,historical_unchanged,71,36,0.5070422535211268,3.732394366197183,2.732394366197183,4.802816901408451,13555.154929577464,,704.5915492957746,9.0943661971831
Milio,0,historical_unchanged,68,37,0.5441176470588235,0.22058823529411764,1.8676470588235294,10.176470588235293,8655.514705882353,,156.77941176470588,0.9367647058823528
Trundle,0,historical_unchanged,60,32,0.5333333333333333,2.433333333333333,2.716666666666667,7.95,12324.833333333334,,371.43333333333334,6.675
Qiyana,0,historical_unchanged,57,30,0.5263157894736842,4.12280701754386,3.3508771929824563,6.035087719298246,14905.78947368421,,558.9473684210526,7.771929824561403
Renata Glasc,0,historical_unchanged,57,22,0.38596491228070173,0.5087719298245614,3.1052631578947367,9.614035087719298,8439.38596491228,,206.40350877192984,1.0859649122807018
Braum,0,historical_unchanged,55,27,0.4909090909090909,0.43636363636363634,3.1636363636363636,10.363636363636363,8573.90909090909,,193.05454545454546,1.001818181818182
Skarner,0,historical_unchanged,55,36,0.6545454545454545,2.690909090909091,2.6363636363636362,8.654545454545454,12343.309090909092,,449.07272727272726,6.667272727272727
Twisted Fate,0,historical_unchanged,53,37,0.6981132075471698,2.811320754716981,2.3773584905660377,7.0754716981132075,14755.358490566037,,582.377358490566,9.037735849056602
Kalista,0,historical_unchanged,50,24,0.48,4.82,3.52,4.9,14766.5,,708.28,9.536
Rek'Sai,0,historical_unchanged,46,28,0.6086956521739131,2.9130434782608696,2.3260869565217392,4.673913043478261,13866.891304347826,,628.3913043478261,9.060869565217393
Sejuani,0,historical_unchanged,37,14,0.3783783783783784,2.081081081081081,2.5405405405405403,8.135135135135135,11871.72972972973,,403.7837837837838,6.408108108108109
Ziggs,0,historical_unchanged,35,17,0.4857142857142857,3.142857142857143,2.2285714285714286,6.0285714285714285,14982.171428571428,,903.9428571428572,9.68857142857143
Maokai,0,historical_unchanged,31,14,0.45161290322580644,1.935483870967742,3.064516129032258,7.548387096774194,11101.741935483871,,559.0645161290323,6.212903225806452
Shen,0,historical_unchanged,30,20,0.6666666666666666,2.2666666666666666,2.433333333333333,8.6,11170.0,,437.1,5.713333333333333
Pyke,0,historical_unchanged,28,13,0.4642857142857143,2.857142857142857,3.892857142857143,6.785714285714286,10043.32142857143,,248.85714285714286,1.1321428571428571
Jinx,0,historical_unchanged,23,10,0.43478260869565216,5.478260869565218,2.3043478260869565,4.043478260869565,15777.434782608696,,786.6086956521739,10.039130434782608
Olaf,0,historical_unchanged,21,9,0.42857142857142855,3.857142857142857,3.9047619047619047,4.0476190476190474,13177.666666666666,,627.952380952381,8.228571428571428
Yuumi,0,historical_unchanged,21,11,0.5238095238095238,0.6666666666666666,1.7619047619047619,11.952380952380953,8735.190476190477,,299.8095238095238,0.5714285714285714
Volibear,0,historical_unchanged,20,13,0.65,3.6,2.95,6.1,12360.3,,696.0,8.225
Tristana,0,historical_unchanged,19,11,0.5789473684210527,4.947368421052632,2.8947368421052633,4.421052631578948,14779.421052631578,,662.1052631578947,9.463157894736844
Lissandra,0,historical_unchanged,15,11,0.7333333333333333,3.4,3.3333333333333335,8.133333333333333,13381.0,,624.8,8.386666666666665
Senna,0,historical_unchanged,15,7,0.4666666666666667,2.7333333333333334,2.6666666666666665,7.133333333333334,13675.2,,644.4,7.233333333333334
